dates,number_of_marriage
2024-07-11,11
2024-12-19,12
2024-12-01,18
2024-02-06,6
2024-12-19,10
2024-03-18,15
2024-11-29,9
2024-10-11,9
2024-06-11,5
2024-05-13,8
2024-01-30,8
2024-02-14,14
2024-12-21,5
2024-08-05,11
2024-08-10,9
2024-09-06,7
2024-08-01,9
2024-10-08,13
2024-06-30,6
2024-10-02,17
2024-01-01,5
2024-07-03,13
2024-04-07,13
2024-01-20,10
2024-09-24,7
2024-08-12,7
2024-01-15,11
2024-12-17,12
2024-11-26,9
2024-04-23,7
2024-07-02,14
2024-05-05,12
2024-03-15,8
2024-09-07,7
2024-07-27,15
2024-07-15,7
2024-12-18,5
2024-12-04,7
2024-11-09,12
2024-04-25,6
2024-05-17,11
2024-03-06,12
2024-03-22,9
2024-03-29,10
2024-06-11,8
2024-06-30,11
2024-02-05,8
2024-02-01,7
2024-05-01,9
2024-08-30,12
2024-04-28,7
2024-02-10,11
2024-11-21,9
2024-05-10,10
2024-10-07,10
2024-03-20,7
2024-03-18,11
2024-04-22,9
2024-01-18,14
2024-09-20,9
2024-06-18,16
2024-02-06,6
2024-09-21,15
2024-11-28,4
2024-12-23,19
2024-08-20,7
2024-06-01,8
2024-06-25,6
2024-02-18,4
2024-08-01,11
2024-03-09,13
2024-07-25,5
2024-12-09,9
2024-05-11,11
2024-07-26,8
2024-03-27,10
2024-03-28,16
2024-08-25,10
2024-06-06,12
2024-02-17,8
2024-04-16,14
2024-05-06,6
2024-05-22,7
2024-06-11,10
2024-06-17,10
2024-11-25,8
2024-01-12,9
2024-08-11,9
2024-10-20,5
2024-12-24,8
2024-02-18,11
2024-01-29,4
2024-11-20,7
2024-10-19,18
2024-10-10,5
2024-06-06,9
2024-07-20,11
2024-02-11,13
2024-06-15,6
2024-08-14,7
